ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
5207,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000,200,OK,3,852,1043
5208,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=/admin/,200,OK,5,1107,4184
5210,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/.well-known,404,Not Found,3,859,1540
5211,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,POST,http://localhost:8000/admin/login/?next=Set-cookie%3A+Tamper%3De9b673c3-8984-4a96-8f84-257efe752f99,429,Too Many Requests,2,858,143
5212,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/.well-known/appspecific,404,Not Found,3,859,1540
5213,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin,301,Moved Permanently,2,883,0
5214,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=/admin/,200,OK,5,1107,4184
5216,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login,302,Found,3,1015,0
5217,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,POST,http://localhost:8000/admin/login/?next=any%0D%0ASet-cookie%3A+Tamper%3De9b673c3-8984-4a96-8f84-257efe752f99,429,Too Many Requests,3,858,143
5218,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/api,301,Moved Permanently,3,881,0
5219,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=Set-cookie%3A+Tamper%3Df0e19647-2c99-47c4-9676-3eaf203f6df3,200,OK,7,1107,4229
5220,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=/admin/,200,OK,5,1107,4184
5222,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/api/auth,404,Not Found,4,859,1540
5223,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,POST,http://localhost:8000/admin/login/?next=any%3F%0D%0ASet-cookie%3A+Tamper%3De9b673c3-8984-4a96-8f84-257efe752f99,429,Too Many Requests,2,858,143
5224,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/health,301,Moved Permanently,3,884,0
5225,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=any%0D%0ASet-cookie%3A+Tamper%3Df0e19647-2c99-47c4-9676-3eaf203f6df3,200,OK,9,1107,4238
5226,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=/admin/,200,OK,5,1107,4184
5228,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/redoc,301,Moved Permanently,5,883,0
5229,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,POST,http://localhost:8000/admin/login/?next=any%0ASet-cookie%3A+Tamper%3De9b673c3-8984-4a96-8f84-257efe752f99,429,Too Many Requests,2,858,143
5230,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/static,404,Not Found,2,859,1540
5231,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=any%3F%0D%0ASet-cookie%3A+Tamper%3Df0e19647-2c99-47c4-9676-3eaf203f6df3,200,OK,8,1107,4302
5232,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/static/admin,404,Not Found,5,859,1540
5233,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=/admin/,200,OK,7,1107,4184
5235,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,POST,http://localhost:8000/admin/login/?next=any%3F%0ASet-cookie%3A+Tamper%3De9b673c3-8984-4a96-8f84-257efe752f99,429,Too Many Requests,2,858,143
5236,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=any%0ASet-cookie%3A+Tamper%3Df0e19647-2c99-47c4-9676-3eaf203f6df3,200,OK,8,1107,4235
5237,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/static/admin/css,404,Not Found,4,859,1540
5238,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=/admin/,200,OK,6,1107,4184
5239,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=any%3F%0ASet-cookie%3A+Tamper%3Df0e19647-2c99-47c4-9676-3eaf203f6df3,200,OK,6,1107,4298
5241,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/static/admin/js,404,Not Found,5,859,1540
5242,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,POST,http://localhost:8000/admin/login/?next=any%0D%0ASet-cookie%3A+Tamper%3De9b673c3-8984-4a96-8f84-257efe752f99%0D%0A,429,Too Many Requests,3,858,143
5243,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/static/drf-yasg,404,Not Found,3,859,1540
5244,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=any%0D%0ASet-cookie%3A+Tamper%3Df0e19647-2c99-47c4-9676-3eaf203f6df3%0D%0A,200,OK,6,1107,4244
5245,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/static/drf-yasg/redoc,404,Not Found,3,859,1540
5246,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/admin/login/?next=/admin/,200,OK,6,1107,4184
5248,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,POST,http://localhost:8000/admin/login/?next=any%3F%0D%0ASet-cookie%3A+Tamper%3De9b673c3-8984-4a96-8f84-257efe752f99%0D%0A,429,Too Many Requests,3,858,143
5249,Sun Oct 12 16:54:38 PST 2025,Sun Oct 12 16:54:38 PST 2025,GET,http://localhost:8000/static/drf-yasg/swagger-ui-dist,404,Not Found,4,859,1540
